year,competition_name,download_link
2021,SNZ Events,https://www.facebook.com/SNZevents
2021,Epic Swim,https://www.facebook.com/EpicSwim
2021,High Performance,https://www.facebook.com/pages/High-Performance-Swimming-New-Zealand/217739888313688
2021,Home,https://archive.swimming.org.nz/
2021,LATEST NEWS,https://archive.swimming.org.nz/news.php
2021,High Performance,https://archive.swimming.org.nz/news.php?section=148
2021,Education,https://archive.swimming.org.nz/news.php?section=149
2021,Community,https://archive.swimming.org.nz/news.php?section=150
2021,Social Media,https://archive.swimming.org.nz/social-media.html
2021,Freestyler,https://archive.swimming.org.nz/freestyler.html
2021,Media Contacts,https://archive.swimming.org.nz/media-contact.html
2021,Photography,https://archive.swimming.org.nz/gallery.php
2021,Videos,https://archive.swimming.org.nz/livestream.php?view=archive
2021,Athlete Pathway,https://archive.swimming.org.nz/page.php?id=2901
2021,Athlete Leadership Group,https://archive.swimming.org.nz/page.php?id=3188
2021,Anti-Doping,https://archive.swimming.org.nz/anti-doping.html
2021,Carding,https://archive.swimming.org.nz/hpsnz-carding-and-support.html
2021,Local Funding Sites,https://archive.swimming.org.nz/page.php?id=3016
2021,PM Scholarships,https://archive.swimming.org.nz/page.php?id=2204
2021,Coaching Strategy,https://archive.swimming.org.nz/page.php?id=3214
2021,Coach Selection Criteria for International Teams,https://archive.swimming.org.nz/page.php?id=3213
2021,Prime Minister Coach Scholarships,https://archive.swimming.org.nz/page.php?id=2206
2021,Long Term Athlete Development,https://archive.swimming.org.nz/page.php?id=2207
2021,Selection Criteria,https://archive.swimming.org.nz/selection-criteria-pool-open-water.html
2021,International HP Calendar,https://archive.swimming.org.nz/page.php?id=2305
2021,Selection Panel,https://archive.swimming.org.nz/page.php?id=2409
2021,2021,https://archive.swimming.org.nz/page.php?id=3477
2021,2020,https://archive.swimming.org.nz/page.php?id=3476
2021,2019,https://archive.swimming.org.nz/page.php?id=3086
2021,2018,https://archive.swimming.org.nz/page.php?id=2741
2021,2017,https://archive.swimming.org.nz/2017-national-teams.html
2021,2016,https://archive.swimming.org.nz/2016-national-teams.html
2021,2015,https://archive.swimming.org.nz/2015-national-teams.html
2021,2014,https://archive.swimming.org.nz/national-teams-2014.html
2021,2013,https://archive.swimming.org.nz/2013-national-teams.html
2021,2012,https://archive.swimming.org.nz/nationals-teams-2012.html
2021,2011,https://archive.swimming.org.nz/nationals-teams-2011.html
2021,2010,https://archive.swimming.org.nz/nationals-teams-2010.html
2021,2009,https://archive.swimming.org.nz/nationals-teams-2009.html
2021,Historical,https://archive.swimming.org.nz/nationals-teams-historical.html
2021,Swimmers & Coaches Profiles,https://archive.swimming.org.nz/profile_type.php?type=athlete
2021,AquaBlacks,https://archive.swimming.org.nz/profiles.php?section=119
2021,New Zealand Swimmers,https://archive.swimming.org.nz/profiles.php?section=120
2021,Past AquaBlacks,https://archive.swimming.org.nz/profiles.php?section=121
2021,New Zealand Coaches,https://archive.swimming.org.nz/profiles.php?section=3087
2021,Strategies and Policies,https://archive.swimming.org.nz/page.php?id=2363
2021,Events Calendar,https://archive.swimming.org.nz/calendar.html
2021,All National and International Meets,https://archive.swimming.org.nz/national-international-meets.html
2021,All New Zealand Meets,https://archive.swimming.org.nz/all-new-zealand-meets.html
2021,Past Meets,https://archive.swimming.org.nz/past-meets.html
2021,LIVESTREAM,https://archive.swimming.org.nz/livestream.html
2021,FAQ - Events & Competition Restructure,https://archive.swimming.org.nz/page.php?id=3582
2021,Designated Meets,https://archive.swimming.org.nz/page.php?id=3676
2021,Current Records,https://archive.swimming.org.nz/current-records.html
2021,Record Ratification Sheets,https://archive.swimming.org.nz/record-ratification-sheets.html
2021,TM Results Files,https://archive.swimming.org.nz/page.php?id=1065
2021,Results Database,https://archive.swimming.org.nz/results.html
